,A2,A3,C2-sy,C5-sy,123,178,194,197,Los_Viscos_V353,Arica4,Arica5,Z2,Z61,Z64,Z65,Z66,Z67,Z6,C1,C3,C5,C6,C9,C10,C11,C12,C13,C14,C15,C17,C18,C19,C20,C23,C26,C39,C36,C45,SAMN04225721,SAMN04225722,SAMN04225724,SAMN04225730,SAMN00839327
A2,,0.165669581,0.133752244,0.172584487,0.14827819,0.156542414,0.142630745,0.163507307,0.174514563,0.161200969,0.161200969,0.158802638,0.159033287,0.156234517,0.156975957,0.16131989,0.16292251,0.160168599,0.153835714,0.157836872,0.145305844,0.155916936,0.160363342,0.157558503,0.15797126,0.156295122,0.156676719,0.156781275,0.148540121,0.154362652,0.153872645,0.154779041,0.158946474,0.156531532,0.157890896,0.159072333,0.157595943,0.157075077,0.155061678,0.159022556,0.157833629,0.158740514,0.159136858
A3,0.165669581,,0.165348165,0.173828871,0.160729507,0.164608094,0.153303448,0.163352299,0.174355628,0.168565207,0.168477365,0.165237974,0.167108253,0.165004728,0.16545804,0.172062329,0.172455257,0.173941392,0.161369954,0.169224357,0.154234056,0.165364503,0.168955277,0.165395106,0.166330649,0.166450771,0.16500907,0.165025277,0.159476621,0.161275206,0.16215515,0.16373766,0.168226546,0.167136797,0.168769028,0.168778537,0.169453001,0.169142112,0.164560796,0.168853578,0.1695573,0.170826324,0.169721194
C2-sy,0.133752244,0.165348165,,0.164360211,0.149935881,0.15595982,0.137758297,0.1498754,0.158279846,0.158546221,0.158613683,0.151245005,0.154006441,0.150483032,0.154985192,0.149476831,0.161155056,0.133920705,0.150184291,0.1560873,0.144806258,0.152642084,0.156340281,0.153063118,0.155421811,0.155035396,0.153593419,0.153038557,0.148463898,0.150048533,0.150389187,0.153019616,0.156207827,0.154649523,0.156337164,0.155635342,0.155990305,0.1569464,0.154062061,0.156574236,0.156728466,0.157869897,0.160095474
C5-sy,0.172584487,0.173828871,0.164360211,,0.159704967,0.163497533,0.15281045,0.162801379,0.169764917,0.166886727,0.16676856,0.163165411,0.165376699,0.162213411,0.164123856,0.168668928,0.169061021,0.172247828,0.160051405,0.165785601,0.152065666,0.162004985,0.165934687,0.163264543,0.163679074,0.164325642,0.16253291,0.163555955,0.157568019,0.159547908,0.160433537,0.161395222,0.165035731,0.16415934,0.16681097,0.166419563,0.166819228,0.166434133,0.162535607,0.165473589,0.166517788,0.167710875,0.16719874
123,0.14827819,0.160729507,0.149935881,0.159704967,,0.158534671,0.14832729,0.157103908,0.157440959,0.158406457,0.158365863,0.1529707,0.160549227,0.15312406,0.158609597,0.156892962,0.158438969,0.157529442,0.155265159,0.156045112,0.144956525,0.153194818,0.15553787,0.15680306,0.154633428,0.157698567,0.155576443,0.158073682,0.150050645,0.152317477,0.155601509,0.15285565,0.154938312,0.155893578,0.155811495,0.15652991,0.157389791,0.156831399,0.155575207,0.157409675,0.157221569,0.157317648,0.157058491
178,0.156542414,0.164608094,0.15595982,0.163497533,0.158534671,,0.152385929,0.161472193,0.161481888,0.162193196,0.162021789,0.156004415,0.165203259,0.157886364,0.161885084,0.162504315,0.16352526,0.165870806,0.159983399,0.161054121,0.149001598,0.157626599,0.160134123,0.161919751,0.159914745,0.163196742,0.160609901,0.163723756,0.153762482,0.156063221,0.160079847,0.157320631,0.160273743,0.160428778,0.160622022,0.160765245,0.162007689,0.160219655,0.160823701,0.161966705,0.161453428,0.162012226,0.161858751
194,0.142630745,0.153303448,0.137758297,0.15281045,0.14832729,0.152385929,,0.149654418,0.149160771,0.15061472,0.150612488,0.145627079,0.150327118,0.145502282,0.148987914,0.147523659,0.152392414,0.149710313,0.146304066,0.149541577,0.139411628,0.146559011,0.149597855,0.148868895,0.148162143,0.149737166,0.14855806,0.149604954,0.142998593,0.144976268,0.147298875,0.145709823,0.14956966,0.150069198,0.150306527,0.148318825,0.149254288,0.148651572,0.149045113,0.151009989,0.15034184,0.151499374,0.152364168
197,0.163507307,0.163352299,0.1498754,0.162801379,0.157103908,0.161472193,0.149654418,,0.160474545,0.1608889,0.160764119,0.154343767,0.16258324,0.15564879,0.160442246,0.157349753,0.162842339,0.165844229,0.156982917,0.15922174,0.147407912,0.156387063,0.158966582,0.159585568,0.157601643,0.160466071,0.158232756,0.160093358,0.152915709,0.154615438,0.157324987,0.155843132,0.158120165,0.158336734,0.159341238,0.159219986,0.159229039,0.15887757,0.158252771,0.159609861,0.160638494,0.160943843,0.160967101
Los_Viscos_V353,0.174514563,0.174355628,0.158279846,0.169764917,0.157440959,0.161481888,0.149160771,0.160474545,,0.163999105,0.164020909,0.161224557,0.162869163,0.16000317,0.161457207,0.166615875,0.167874016,0.169813615,0.158059968,0.163607837,0.149846351,0.160485473,0.16323307,0.160961235,0.161000989,0.162855285,0.160568711,0.160876727,0.155413511,0.157540017,0.158811376,0.158904307,0.162690003,0.16176941,0.163366004,0.164768076,0.165480301,0.16543523,0.160493593,0.163351782,0.164522782,0.164900845,0.165253994
Arica4,0.161200969,0.168565207,0.158546221,0.166886727,0.158406457,0.162193196,0.15061472,0.1608889,0.163999105,,0.215550124,0.169979121,0.175363461,0.171713562,0.174014103,0.17650493,0.180186301,0.182075331,0.16941691,0.175866154,0.161997973,0.171880008,0.175193825,0.172480838,0.173121016,0.173867936,0.171914566,0.172395488,0.166930027,0.168313563,0.169516333,0.171179496,0.17477035,0.173732994,0.176243094,0.173099502,0.17486489,0.173366049,0.172101083,0.175280975,0.176163497,0.177823907,0.176496394
Arica5,0.161200969,0.168477365,0.158613683,0.16676856,0.158365863,0.162021789,0.150612488,0.160764119,0.164020909,0.215550124,,0.170209562,0.175368456,0.171717008,0.174117569,0.176295061,0.180181519,0.181321252,0.169395605,0.175763057,0.161993564,0.171830343,0.175240741,0.172416592,0.173165146,0.17379213,0.171910346,0.172313252,0.166885936,0.168296081,0.169400799,0.171202229,0.174764817,0.173645713,0.17618446,0.173075617,0.1748112,0.173372717,0.172058213,0.175203664,0.176162746,0.177732286,0.176426362
Z2,0.158802638,0.165237974,0.151245005,0.163165411,0.1529707,0.156004415,0.145627079,0.154343767,0.161224557,0.169979121,0.170209562,,0.168896196,0.169709698,0.167157335,0.168968372,0.172786191,0.185570086,0.162882832,0.167815118,0.154394639,0.164425328,0.167028215,0.165550616,0.165646446,0.166925771,0.165233917,0.165757755,0.159230414,0.161607391,0.163498183,0.163653942,0.166814675,0.165912073,0.167947739,0.175851169,0.177053696,0.17733847,0.165229599,0.16825812,0.16803745,0.169399869,0.170369739
Z61,0.159033287,0.167108253,0.154006441,0.165376699,0.160549227,0.165203259,0.150327118,0.16258324,0.162869163,0.175363461,0.175368456,0.168896196,,0.170910402,0.176599243,0.183104974,0.177364327,0.181654039,0.173178213,0.173532574,0.161802244,0.170675911,0.172531263,0.174621227,0.17247809,0.176049002,0.172990141,0.176888302,0.166964232,0.169109729,0.173388924,0.170323876,0.172749805,0.173762702,0.173980604,0.173330481,0.175132844,0.173114234,0.173317724,0.175060583,0.175039815,0.175696911,0.175361811
Z64,0.156234517,0.165004728,0.150483032,0.162213411,0.15312406,0.157886364,0.145502282,0.15564879,0.16000317,0.171713562,0.171717008,0.169709698,0.170910402,,0.169243475,0.170895769,0.175080625,0.172806067,0.165829457,0.172512684,0.158555851,0.168684662,0.171624142,0.168498272,0.170518825,0.170182248,0.168774648,0.168645715,0.163656096,0.165136274,0.166241654,0.167846532,0.171188156,0.171264455,0.172614545,0.169256838,0.169814022,0.169191663,0.16960266,0.173563594,0.173125946,0.174583686,0.17394307
Z65,0.156975957,0.16545804,0.154985192,0.164123856,0.158609597,0.161885084,0.148987914,0.160442246,0.161457207,0.174014103,0.174117569,0.167157335,0.176599243,0.169243475,,0.181178809,0.17470574,0.178106486,0.168984648,0.171608226,0.158876068,0.167927804,0.170259148,0.171310655,0.169960181,0.172923755,0.169924659,0.17219494,0.164050055,0.165885545,0.169018009,0.16773066,0.170903076,0.170793496,0.171609138,0.171119605,0.172403867,0.1704721,0.170087676,0.172272979,0.172341422,0.173509744,0.17347206
Z66,0.16131989,0.172062329,0.149476831,0.168668928,0.156892962,0.162504315,0.147523659,0.157349753,0.166615875,0.17650493,0.176295061,0.168968372,0.183104974,0.170895769,0.181178809,,0.180116343,0.184288355,0.170793844,0.17545026,0.162674128,0.171318205,0.174274811,0.173160434,0.171508651,0.175163959,0.173674193,0.174726457,0.166500696,0.168894934,0.171303347,0.169925528,0.174463681,0.173381851,0.1756811,0.175015727,0.176716151,0.177685308,0.173247078,0.175703006,0.176978264,0.176978456,0.177781025
Z67,0.16292251,0.172455257,0.161155056,0.169061021,0.158438969,0.16352526,0.152392414,0.162842339,0.167874016,0.180186301,0.180181519,0.172786191,0.177364327,0.175080625,0.17470574,0.180116343,,0.182235316,0.170594664,0.179662946,0.16462782,0.175609541,0.179108378,0.174491883,0.176600908,0.176287022,0.174447195,0.174150058,0.170150657,0.170973857,0.171099006,0.173800223,0.179007401,0.176754638,0.179861802,0.176565407,0.177785877,0.17645093,0.175351873,0.178815579,0.179808288,0.181564277,0.180722471
Z6,0.160168599,0.173941392,0.133920705,0.172247828,0.157529442,0.165870806,0.149710313,0.165844229,0.169813615,0.182075331,0.181321252,0.185570086,0.181654039,0.172806067,0.178106486,0.184288355,0.182235316,,0.173753055,0.178318888,0.164436507,0.174522168,0.177885478,0.176757094,0.175556757,0.177643738,0.174832052,0.175496037,0.169033459,0.171270401,0.175746703,0.173935753,0.176110601,0.175782367,0.176929569,0.188148333,0.189040597,0.187533644,0.175509807,0.178419117,0.177584164,0.180340958,0.180669415
C1,0.153835714,0.161369954,0.150184291,0.160051405,0.155265159,0.159983399,0.146304066,0.156982917,0.158059968,0.16941691,0.169395605,0.162882832,0.173178213,0.165829457,0.168984648,0.170793844,0.170594664,0.173753055,,0.173307934,0.161138483,0.17063694,0.172886224,0.174964869,0.172374201,0.176533518,0.173198071,0.177118113,0.167410306,0.169223077,0.174879788,0.170130662,0.172461869,0.173226569,0.173331504,0.17312542,0.174726383,0.17265029,0.172421688,0.173822337,0.173685887,0.173523577,0.173457362
C3,0.157836872,0.169224357,0.1560873,0.165785601,0.156045112,0.161054121,0.149541577,0.15922174,0.163607837,0.175866154,0.175763057,0.167815118,0.173532574,0.172512684,0.171608226,0.17545026,0.179662946,0.178318888,0.173307934,,0.167213193,0.181854352,0.185364053,0.178981427,0.182039803,0.179953912,0.178656992,0.177499133,0.173417191,0.174053734,0.173625147,0.177984203,0.184628413,0.181606193,0.185138741,0.178313762,0.179419495,0.177448553,0.178093707,0.182965604,0.184525896,0.186340607,0.184076249
C5,0.145305844,0.154234056,0.144806258,0.152065666,0.144956525,0.149001598,0.139411628,0.147407912,0.149846351,0.161997973,0.161993564,0.154394639,0.161802244,0.158555851,0.158876068,0.162674128,0.16462782,0.164436507,0.161138483,0.167213193,,0.165120145,0.166689586,0.163451841,0.165032882,0.164549933,0.163223706,0.163289391,0.160873457,0.161684254,0.160528651,0.163075299,0.16671166,0.165291369,0.166887576,0.16306164,0.16467223,0.162887572,0.163667428,0.166414864,0.166629628,0.167893036,0.166962661
C6,0.155916936,0.165364503,0.152642084,0.162004985,0.153194818,0.157626599,0.146559011,0.156387063,0.160485473,0.171880008,0.171830343,0.164425328,0.170675911,0.168684662,0.167927804,0.171318205,0.175609541,0.174522168,0.17063694,0.181854352,0.165120145,,0.180376475,0.174418711,0.177560879,0.176068223,0.17464725,0.173622551,0.170383198,0.170956502,0.170426982,0.173837953,0.179819952,0.177548296,0.180306678,0.174511817,0.174910275,0.173545228,0.174573418,0.178595935,0.180136405,0.182178857,0.180421429
C9,0.160363342,0.168955277,0.156340281,0.165934687,0.15553787,0.160134123,0.149597855,0.158966582,0.16323307,0.175193825,0.175240741,0.167028215,0.172531263,0.171624142,0.170259148,0.174274811,0.179108378,0.177885478,0.172886224,0.185364053,0.166689586,0.180376475,,0.177211403,0.179893466,0.17910171,0.177360205,0.176304627,0.172988189,0.173310776,0.172612896,0.17709129,0.184024564,0.18042762,0.184269459,0.177288997,0.178169118,0.176539913,0.177198314,0.181926229,0.183937323,0.185599643,0.184044599
C10,0.157558503,0.165395106,0.153063118,0.163264543,0.15680306,0.161919751,0.148868895,0.159585568,0.160961235,0.172480838,0.172416592,0.165550616,0.174621227,0.168498272,0.171310655,0.173160434,0.174491883,0.176757094,0.174964869,0.178981427,0.163451841,0.174418711,0.177211403,,0.176320012,0.180173857,0.177117696,0.178937427,0.169811392,0.172178949,0.176156125,0.173626303,0.176962741,0.177486809,0.177516946,0.175712517,0.177824776,0.175379525,0.175948403,0.177676473,0.178489513,0.17820184,0.178162396
C11,0.15797126,0.166330649,0.155421811,0.163679074,0.154633428,0.159914745,0.148162143,0.157601643,0.161000989,0.173121016,0.173165146,0.165646446,0.17247809,0.170518825,0.169960181,0.171508651,0.176600908,0.175556757,0.172374201,0.182039803,0.165032882,0.177560879,0.179893466,0.176320012,,0.177184085,0.175592394,0.175789082,0.170591734,0.172693506,0.172450733,0.175558155,0.180503983,0.178599421,0.180881821,0.175609332,0.176930781,0.174887228,0.176769067,0.179837329,0.180986848,0.181890461,0.179744217
C12,0.156295122,0.166450771,0.155035396,0.164325642,0.157698567,0.163196742,0.149737166,0.160466071,0.162855285,0.173867936,0.17379213,0.166925771,0.176049002,0.170182248,0.172923755,0.175163959,0.176287022,0.177643738,0.176533518,0.179953912,0.164549933,0.176068223,0.17910171,0.180173857,0.177184085,,0.177519629,0.179795141,0.170608262,0.172611424,0.175865745,0.174936847,0.178897282,0.178627654,0.179337323,0.177513626,0.179049361,0.177020325,0.176944135,0.178573032,0.179517343,0.180285342,0.179800168
C13,0.156676719,0.16500907,0.153593419,0.16253291,0.155576443,0.160609901,0.14855806,0.158232756,0.160568711,0.171914566,0.171910346,0.165233917,0.172990141,0.168774648,0.169924659,0.173674193,0.174447195,0.174832052,0.173198071,0.178656992,0.163223706,0.17464725,0.177360205,0.177117696,0.175592394,0.177519629,,0.17665441,0.169355899,0.171848565,0.173843557,0.173554711,0.177451748,0.177174229,0.177752843,0.175523169,0.176495552,0.174584489,0.174770167,0.177468705,0.178168307,0.179139947,0.177787905
C14,0.156781275,0.165025277,0.153038557,0.163555955,0.158073682,0.163723756,0.149604954,0.160093358,0.160876727,0.172395488,0.172313252,0.165757755,0.176888302,0.168645715,0.17219494,0.174726457,0.174150058,0.175496037,0.177118113,0.177499133,0.163289391,0.173622551,0.176304627,0.178937427,0.175789082,0.179795141,0.17665441,,0.169526602,0.171703939,0.177814712,0.174169491,0.17648198,0.177606056,0.177676194,0.176938443,0.178842436,0.175947083,0.176924093,0.177623203,0.177985443,0.1778821,0.1778276
C15,0.148540121,0.159476621,0.148463898,0.157568019,0.150050645,0.153762482,0.142998593,0.152915709,0.155413511,0.166930027,0.166885936,0.159230414,0.166964232,0.163656096,0.164050055,0.166500696,0.170150657,0.169033459,0.167410306,0.173417191,0.160873457,0.170383198,0.172988189,0.169811392,0.170591734,0.170608262,0.169355899,0.169526602,,0.167808154,0.167212282,0.169343698,0.172410144,0.171392685,0.173538828,0.169215279,0.170615523,0.168692243,0.169040438,0.172053767,0.172870309,0.173712644,0.17484853
C17,0.154362652,0.161275206,0.150048533,0.159547908,0.152317477,0.156063221,0.144976268,0.154615438,0.157540017,0.168313563,0.168296081,0.161607391,0.169109729,0.165136274,0.165885545,0.168894934,0.170973857,0.171270401,0.169223077,0.174053734,0.161684254,0.170956502,0.173310776,0.172178949,0.172693506,0.172611424,0.171848565,0.171703939,0.167808154,,0.169600031,0.1706198,0.173062061,0.173572485,0.174114772,0.171006076,0.172478906,0.170760721,0.171986057,0.174489435,0.174617746,0.174579198,0.175620374
C18,0.153872645,0.16215515,0.150389187,0.160433537,0.155601509,0.160079847,0.147298875,0.157324987,0.158811376,0.169516333,0.169400799,0.163498183,0.173388924,0.166241654,0.169018009,0.171303347,0.171099006,0.175746703,0.174879788,0.173625147,0.160528651,0.170426982,0.172612896,0.176156125,0.172450733,0.175865745,0.173843557,0.177814712,0.167212282,0.169600031,,0.170179074,0.172627721,0.173851835,0.174082211,0.173489253,0.175562205,0.173571236,0.173394643,0.174255728,0.173906677,0.174204537,0.174336621
C19,0.154779041,0.16373766,0.153019616,0.161395222,0.15285565,0.157320631,0.145709823,0.155843132,0.158904307,0.171179496,0.171202229,0.163653942,0.170323876,0.167846532,0.16773066,0.169925528,0.173800223,0.173935753,0.170130662,0.177984203,0.163075299,0.173837953,0.17709129,0.173626303,0.175558155,0.174936847,0.173554711,0.174169491,0.169343698,0.1706198,0.170179074,,0.177076154,0.17657778,0.177808878,0.173156071,0.175336757,0.172540939,0.173915026,0.177056857,0.177688069,0.178691861,0.177356325
C20,0.158946474,0.168226546,0.156207827,0.165035731,0.154938312,0.160273743,0.14956966,0.158120165,0.162690003,0.17477035,0.174764817,0.166814675,0.172749805,0.171188156,0.170903076,0.174463681,0.179007401,0.176110601,0.172461869,0.184628413,0.16671166,0.179819952,0.184024564,0.176962741,0.180503983,0.178897282,0.177451748,0.17648198,0.172410144,0.173062061,0.172627721,0.177076154,,0.18076515,0.184385113,0.177444153,0.178479336,0.17608363,0.176829181,0.182289918,0.183586837,0.185575284,0.183167613
C23,0.156531532,0.167136797,0.154649523,0.16415934,0.155893578,0.160428778,0.150069198,0.158336734,0.16176941,0.173732994,0.173645713,0.165912073,0.173762702,0.171264455,0.170793496,0.173381851,0.176754638,0.175782367,0.173226569,0.181606193,0.165291369,0.177548296,0.18042762,0.177486809,0.178599421,0.178627654,0.177174229,0.177606056,0.171392685,0.173572485,0.173851835,0.17657778,0.18076515,,0.181891284,0.176658812,0.178472244,0.176005404,0.178681642,0.181391695,0.182141142,0.181992612,0.180763951
C26,0.157890896,0.168769028,0.156337164,0.16681097,0.155811495,0.160622022,0.150306527,0.159341238,0.163366004,0.176243094,0.17618446,0.167947739,0.173980604,0.172614545,0.171609138,0.1756811,0.179861802,0.176929569,0.173331504,0.185138741,0.166887576,0.180306678,0.184269459,0.177516946,0.180881821,0.179337323,0.177752843,0.177676194,0.173538828,0.174114772,0.174082211,0.177808878,0.184385113,0.181891284,,0.178556211,0.179388629,0.176923267,0.178130806,0.182514468,0.184628744,0.186490116,0.183802803
C39,0.159072333,0.168778537,0.155635342,0.166419563,0.15652991,0.160765245,0.148318825,0.159219986,0.164768076,0.173099502,0.173075617,0.175851169,0.173330481,0.169256838,0.171119605,0.175015727,0.176565407,0.188148333,0.17312542,0.178313762,0.16306164,0.174511817,0.177288997,0.175712517,0.175609332,0.177513626,0.175523169,0.176938443,0.169215279,0.171006076,0.173489253,0.173156071,0.177444153,0.176658812,0.178556211,,0.191486193,0.189164288,0.174594702,0.177389183,0.178084089,0.178941101,0.178305156
C36,0.157595943,0.169453001,0.155990305,0.166819228,0.157389791,0.162007689,0.149254288,0.159229039,0.165480301,0.17486489,0.1748112,0.177053696,0.175132844,0.169814022,0.172403867,0.176716151,0.177785877,0.189040597,0.174726383,0.179419495,0.16467223,0.174910275,0.178169118,0.177824776,0.176930781,0.179049361,0.176495552,0.178842436,0.170615523,0.172478906,0.175562205,0.175336757,0.178479336,0.178472244,0.179388629,0.191486193,,0.189652138,0.175415766,0.178120659,0.179374707,0.179989679,0.179681867
C45,0.157075077,0.169142112,0.1569464,0.166434133,0.156831399,0.160219655,0.148651572,0.15887757,0.16543523,0.173366049,0.173372717,0.17733847,0.173114234,0.169191663,0.1704721,0.177685308,0.17645093,0.187533644,0.17265029,0.177448553,0.162887572,0.173545228,0.176539913,0.175379525,0.174887228,0.177020325,0.174584489,0.175947083,0.168692243,0.170760721,0.173571236,0.172540939,0.17608363,0.176005404,0.176923267,0.189164288,0.189652138,,0.173640289,0.17627662,0.177230273,0.178264026,0.177779425
SAMN04225721,0.155061678,0.164560796,0.154062061,0.162535607,0.155575207,0.160823701,0.149045113,0.158252771,0.160493593,0.172101083,0.172058213,0.165229599,0.173317724,0.16960266,0.170087676,0.173247078,0.175351873,0.175509807,0.172421688,0.178093707,0.163667428,0.174573418,0.177198314,0.175948403,0.176769067,0.176944135,0.174770167,0.176924093,0.169040438,0.171986057,0.173394643,0.173915026,0.176829181,0.178681642,0.178130806,0.174594702,0.175415766,0.173640289,,0.180101834,0.180017446,0.180092682,0.180167051
SAMN04225722,0.159022556,0.168853578,0.156574236,0.165473589,0.157409675,0.161966705,0.151009989,0.159609861,0.163351782,0.175280975,0.175203664,0.16825812,0.175060583,0.173563594,0.172272979,0.175703006,0.178815579,0.178419117,0.173822337,0.182965604,0.166414864,0.178595935,0.181926229,0.177676473,0.179837329,0.178573032,0.177468705,0.177623203,0.172053767,0.174489435,0.174255728,0.177056857,0.182289918,0.181391695,0.182514468,0.177389183,0.178120659,0.17627662,0.180101834,,0.184801823,0.18485206,0.183034801
SAMN04225724,0.157833629,0.1695573,0.156728466,0.166517788,0.157221569,0.161453428,0.15034184,0.160638494,0.164522782,0.176163497,0.176162746,0.16803745,0.175039815,0.173125946,0.172341422,0.176978264,0.179808288,0.177584164,0.173685887,0.184525896,0.166629628,0.180136405,0.183937323,0.178489513,0.180986848,0.179517343,0.178168307,0.177985443,0.172870309,0.174617746,0.173906677,0.177688069,0.183586837,0.182141142,0.184628744,0.178084089,0.179374707,0.177230273,0.180017446,0.184801823,,0.186905432,0.183512413
SAMN04225730,0.158740514,0.170826324,0.157869897,0.167710875,0.157317648,0.162012226,0.151499374,0.160943843,0.164900845,0.177823907,0.177732286,0.169399869,0.175696911,0.174583686,0.173509744,0.176978456,0.181564277,0.180340958,0.173523577,0.186340607,0.167893036,0.182178857,0.185599643,0.17820184,0.181890461,0.180285342,0.179139947,0.1778821,0.173712644,0.174579198,0.174204537,0.178691861,0.185575284,0.181992612,0.186490116,0.178941101,0.179989679,0.178264026,0.180092682,0.18485206,0.186905432,,0.18706542
SAMN00839327,0.159136858,0.169721194,0.160095474,0.16719874,0.157058491,0.161858751,0.152364168,0.160967101,0.165253994,0.176496394,0.176426362,0.170369739,0.175361811,0.17394307,0.17347206,0.177781025,0.180722471,0.180669415,0.173457362,0.184076249,0.166962661,0.180421429,0.184044599,0.178162396,0.179744217,0.179800168,0.177787905,0.1778276,0.17484853,0.175620374,0.174336621,0.177356325,0.183167613,0.180763951,0.183802803,0.178305156,0.179681867,0.177779425,0.180167051,0.183034801,0.183512413,0.18706542,